Time;Wavelength ;Absorbance;;
35;745;0.64;;
35;760;0.53;;
35;850;0.38;;
40;190;17.4;;
40;205;11;;
40;220;4.49;;
40;235;0.76;;
40;250;0.43;;
40;265;0.37;;
40;280;0.3;;
40;295;0.3;;
40;310;0.23;;
40;325;0.29;;
40;340;0.22;;
40;355;0.23;;
40;370;0.32;;
40;385;0.23;;
40;405;0.17;;
40;415;0.3;;
40;430;0.24;;
40;450;0.13;;
40;460;0.23;;
40;475;0.18;;
40;492;0.22;;
40;505;0.25;;
40;520;0.21;;
40;535;0.12;;
40;550;0.31;;
40;565;0.2;;
40;580;0.23;;
40;595;0.19;;
40;610;0.32;;
40;625;0.24;;
40;640;0.11;;
40;655;0.16;;
40;670;0.3;;
40;685;0.24;;
40;700;0.33;;
40;715;0.18;;
40;730;0.14;;
40;745;0.27;;
40;760;0.35;;
40;850;0.12;;
45;190;17.53;;
45;205;11.04;;
45;220;4.73;;
45;235;0.92;;
45;250;0.69;;
45;265;0.59;;
45;280;0.49;;
45;295;0.46;;
45;310;0.47;;
45;325;0.53;;
45;340;0.59;;
45;355;0.5;;
45;370;0.51;;
45;385;0.55;;
45;405;0.49;;
45;415;0.58;;
45;430;0.56;;
45;450;0.46;;
45;460;0.46;;
45;475;0.48;;
45;492;0.45;;
45;505;0.52;;
45;520;0.46;;
45;535;0.4;;
45;550;0.51;;
45;565;0.52;;
45;580;0.51;;
45;595;0.41;;
45;610;0.48;;
45;625;0.52;;
45;640;0.48;;
45;655;0.57;;
45;670;0.5;;
45;685;0.53;;
45;700;0.3;;
45;715;0.5;;
45;730;0.41;;
45;745;0.71;;
45;760;0.63;;
45;850;0.36;;
