Time;Wavelength ;Absorbance;
30;565 nm;0.26;
30;580 nm;0.21;
30;595 nm;0.19;
30;610 nm;0.35;
30;625 nm;0.29;
30;640 nm;0.18;
30;655 nm;0.23;
30;670 nm;0.28;
30;685 nm;0.18;
30;700 nm;0.31;
30;715 nm;0.16;
30;730 nm;0.15;
30;745 nm;0.28;
30;760 nm;0.41;
30;850 nm;0.13;
35;190 nm;17.57;
35;205 nm;10.99;
35;220 nm;5.01;
35;235 nm;1.13;
35;250 nm;0.82;
35;265 nm;0.77;
35;280 nm;0.56;
35;295 nm;0.52;
35;310 nm;0.58;
35;325 nm;0.64;
35;340 nm;0.72;
35;355 nm;0.63;
35;370 nm;0.61;
35;385 nm;0.59;
35;405 nm;0.55;
35;415 nm;0.7;
35;430 nm;0.64;
35;450 nm;0.48;
35;460 nm;0.51;
35;475 nm;0.57;
35;492 nm;0.54;
35;505 nm;0.61;
35;520 nm;0.55;
35;535 nm;0.48;
35;550 nm;0.64;
35;565 nm;0.61;
35;580 nm;0.68;
35;595 nm;0.59;
35;610 nm;0.7;
35;625 nm;0.65;
35;640 nm;0.41;
35;655 nm;0.63;
35;670 nm;0.52;
35;685 nm;0.69;
35;700 nm;0.48;
35;715 nm;0.51;
35;730 nm;0.5;
35;745 nm;0.64;
35;760 nm;0.53;
35;850 nm;0.38;
40;190 nm;17.4;
40;205 nm;11;
40;220 nm;4.49;
40;235 nm;0.76;
40;250 nm;0.43;
40;265 nm;0.37;
40;280 nm;0.3;
40;295 nm;0.3;
40;310 nm;0.23;
40;325 nm;0.29;
40;340 nm;0.22;
40;355 nm;0.23;
40;370 nm;0.32;
40;385 nm;0.23;
40;405 nm;0.17;
40;415 nm;0.3;
40;430 nm;0.24;
40;450 nm;0.13;
40;460 nm;0.23;
40;475 nm;0.18;
40;492 nm;0.22;
40;505 nm;0.25;
40;520 nm;0.21;
40;535 nm;0.12;
40;550 nm;0.31;
40;565 nm;0.2;
40;580 nm;0.23;
40;595 nm;0.19;
40;610 nm;0.32;
40;625 nm;0.24;
40;640 nm;0.11;
40;655 nm;0.16;
40;670 nm;0.3;
40;685 nm;0.24;
40;700 nm;0.33;
40;715 nm;0.18;
40;730 nm;0.14;
40;745 nm;0.27;
40;760 nm;0.35;
40;850 nm;0.12;
45;190 nm;17.53;
45;205 nm;11.04;
45;220 nm;4.73;
45;235 nm;0.92;
45;250 nm;0.69;
45;265 nm;0.59;
45;280 nm;0.49;
45;295 nm;0.46;
45;310 nm;0.47;
45;325 nm;0.53;
45;340 nm;0.59;
45;355 nm;0.5;
45;370 nm;0.51;
45;385 nm;0.55;
45;405 nm;0.49;
45;415 nm;0.58;
45;430 nm;0.56;
45;450 nm;0.46;
45;460 nm;0.46;
45;475 nm;0.48;
45;492 nm;0.45;
45;505 nm;0.52;
45;520 nm;0.46;
45;535 nm;0.4;
45;550 nm;0.51;
45;565 nm;0.52;
45;580 nm;0.51;
45;595 nm;0.41;
45;610 nm;0.48;
45;625 nm;0.52;
45;640 nm;0.48;
45;655 nm;0.57;
45;670 nm;0.5;
45;685 nm;0.53;
45;700 nm;0.3;
45;715 nm;0.5;
45;730 nm;0.41;
45;745 nm;0.71;
45;760 nm;0.63;
45;850 nm;0.36;
